ies,sigla,uf,cidade,campus,curso,grau,turno,grupo,categoria,nota,vagas,inscricoes
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,QUÍMICA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",539.8,12,72
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,QUÍMICA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",575.34,12,82
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,QUÍMICA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,611.16,1,112
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,QUÍMICA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · qualquer renda,616.09,1,127
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,QUÍMICA,Licenciatura,Noturno,Cotas (PCD),PCD · qualquer escola,506.11,1,2
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,QUÍMICA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,617.12,28,188
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,CIÊNCIAS BIOLÓGICAS ,Licenciatura,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",612.45,8,82
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,CIÊNCIAS BIOLÓGICAS ,Licenciatura,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",636.14,8,88
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,CIÊNCIAS BIOLÓGICAS ,Licenciatura,Vespertino,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,678.98,1,129
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,CIÊNCIAS BIOLÓGICAS ,Licenciatura,Vespertino,Cotas (Lei 12.711),Escola Pública · qualquer renda,687.36,1,148
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,CIÊNCIAS BIOLÓGICAS ,Licenciatura,Vespertino,Cotas (PCD),PCD · qualquer escola,685.24,1,1
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,CIÊNCIAS BIOLÓGICAS ,Licenciatura,Vespertino,Ampla Concorrência,Ampla Concorrência,687.43,18,236
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",527.71,10,49
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",596.02,9,58
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Cotas (Lei 12.711),Quilombola · renda ≤1 SM,583.34,1,1
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Cotas (Lei 12.711),PCD · qualquer renda,459.69,2,2
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,665.92,1,90
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Cotas (Lei 12.711),Escola Pública · qualquer renda,669.82,1,112
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Vespertino,Ampla Concorrência,Ampla Concorrência,669.96,23,160
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",623.91,10,159
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",639.37,9,172
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),Quilombola · renda ≤1 SM,552.02,1,6
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),PCD · renda ≤1 SM,481.12,2,4
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),PCD · qualquer renda,532.22,2,5
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,662.68,1,279
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (Lei 12.711),Escola Pública · qualquer renda,663.33,1,306
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Cotas (PCD),PCD · qualquer escola,581.32,1,7
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,PEDAGOGIA,Licenciatura,Vespertino,Ampla Concorrência,Ampla Concorrência,667.06,23,416
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",595.02,10,124
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",619.63,9,138
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Cotas (Lei 12.711),Quilombola · renda ≤1 SM,578.73,1,2
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Cotas (Lei 12.711),PCD · qualquer renda,434.39,2,3
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,665.84,1,183
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Cotas (Lei 12.711),Escola Pública · qualquer renda,671.59,1,218
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,HISTÓRIA,Licenciatura,Matutino,Ampla Concorrência,Ampla Concorrência,675.38,23,322
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",599.0,10,187
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",623.21,9,200
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (Lei 12.711),Quilombola · renda ≤1 SM,575.94,1,5
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (Lei 12.711),PCD · qualquer renda,515.31,2,2
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,646.2,1,328
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · qualquer renda,652.31,1,356
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Cotas (PCD),PCD · qualquer escola,614.02,1,3
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,Itabaiana,Campus Universitário Prof Alberto Carvalho,PEDAGOGIA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,652.63,23,439
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ENGENHARIA DE PESCA,Bacharelado,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",471.13,10,27
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ENGENHARIA DE PESCA,Bacharelado,Vespertino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",505.03,9,33
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ENGENHARIA DE PESCA,Bacharelado,Vespertino,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,505.64,1,38
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ENGENHARIA DE PESCA,Bacharelado,Vespertino,Cotas (Lei 12.711),Escola Pública · qualquer renda,539.87,1,46
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ENGENHARIA DE PESCA,Bacharelado,Vespertino,Ampla Concorrência,Ampla Concorrência,555.83,23,90
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",604.19,10,138
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",635.33,9,155
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,Noturno,Cotas (Lei 12.711),Quilombola · renda ≤1 SM,541.25,1,1
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,661.23,1,220
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · qualquer renda,662.58,1,252
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,664.52,23,316
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",582.28,10,84
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Noturno,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",625.17,9,98
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · renda ≤1 SM,670.73,1,153
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Noturno,Cotas (Lei 12.711),Escola Pública · qualquer renda,670.83,1,179
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,MATEMÁTICA,Licenciatura,Noturno,Ampla Concorrência,Ampla Concorrência,672.03,23,238
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ECOLOGIA,Bacharelado,Matutino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · renda ≤1 SM",475.47,10,23
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,São Cristóvão,Unidade SEDE,ECOLOGIA,Bacharelado,Matutino,Cotas (Lei 12.711),"Pretos, Pardos e Indígenas · qualquer renda",542.74,9,30
